# u |D(u)|
3.185199074942183795e-01 2.371333843244339255e-04
3.187574223388962014e-01 2.650121339141992991e-04
3.189949371835739678e-01 2.727839375515208687e-04
3.192324520282517897e-01 2.569535034228073787e-04
3.194699668729295561e-01 2.247545819282635755e-04
3.197074817176073225e-01 1.947929397373934259e-04
3.199449965622851444e-01 1.908882898888517531e-04
3.201825114069629663e-01 2.165573867672613997e-04
3.204200262516407327e-01 2.498598780327625528e-04
3.206575410963184991e-01 2.699285708614704076e-04
3.208950559409963210e-01 2.671399762036317160e-04
3.211325707856740874e-01 2.426784231996821086e-04
3.213700856303519093e-01 2.086754015456859606e-04
3.216076004750296757e-01 1.878027541269080983e-04
3.218451153197074976e-01 1.984564476528822500e-04
3.220826301643852640e-01 2.304986624312113804e-04
3.223201450090630860e-01 2.597718863010799488e-04
3.225576598537408524e-01 2.702706777358692965e-04
3.227951746984186743e-01 2.572443377835303730e-04
3.230326895430964407e-01 2.265453312666476648e-04
3.232702043877742071e-01 1.952701701183818844e-04
3.235077192324520290e-01 1.874360365913365137e-04
3.237452340771298509e-01 2.102491064691905864e-04
3.239827489218076173e-01 2.436421481482697166e-04
3.242202637664853837e-01 2.658403476553448225e-04
3.244577786111632056e-01 2.659549064612590219e-04
3.246952934558409720e-01 2.438950127349412433e-04
3.249328083005187939e-01 2.103135407196932811e-04
3.251703231451965603e-01 1.867207404420828112e-04
3.254078379898743822e-01 1.934375249550964262e-04
3.256453528345521486e-01 2.239446718335812896e-04
3.258828676792299150e-01 2.543632203573011085e-04
3.261203825239077370e-01 2.674731898309526661e-04
3.263578973685855589e-01 2.572798191257306922e-04
3.265954122132633253e-01 2.282959022949897503e-04
3.268329270579410917e-01 1.961045151386462087e-04
3.270704419026189136e-01 1.845330153297799970e-04
3.273079567472967355e-01 2.042107825504877600e-04
3.275454715919745019e-01 2.373774927661821753e-04
3.277829864366522683e-01 2.615163670381830986e-04
3.280205012813300902e-01 2.644797614343127098e-04
3.282580161260079121e-01 2.449260033091828627e-04
3.284955309706856785e-01 2.120732770294814001e-04
3.287330458153634449e-01 1.861415513237977236e-04
3.289705606600412668e-01 1.888755274116565267e-04
3.292080755047190332e-01 2.175053665898820114e-04
3.294455903493967996e-01 2.488074475262827740e-04
3.296831051940746216e-01 2.643994007639369702e-04
3.299206200387524435e-01 2.570502224064143441e-04
3.301581348834302099e-01 2.299706594031000436e-04
3.303956497281079763e-01 1.972441758959848814e-04
3.306331645727857982e-01 1.821797147859255763e-04
3.308706794174636201e-01 1.984793995967087986e-04
3.311081942621413865e-01 2.310943040624081121e-04
3.313457091068191529e-01 2.569721114556478307e-04
3.315832239514969748e-01 2.627154179864256986e-04
3.318207387961747967e-01 2.457513261553968516e-04
3.320582536408525631e-01 2.139074876783667620e-04
3.322957684855303295e-01 1.860283522049433532e-04
3.325332833302081514e-01 1.847961784417488011e-04
3.327707981748859178e-01 2.112157069312558871e-04
3.330083130195636842e-01 2.431270995981779225e-04
3.332458278642415062e-01 2.610586915906707383e-04
3.334833427089193281e-01 2.565482123765908660e-04
3.337208575535970945e-01 2.315376546448878888e-04
3.339583723982748609e-01 1.986372062279145900e-04
3.341958872429526828e-01 1.803686775242549392e-04
3.344334020876305047e-01 1.930911772522162125e-04
3.346709169323082711e-01 2.248222320009858697e-04
3.349084317769860375e-01 2.522243104786842690e-04
3.351459466216638594e-01 2.606645173509753973e-04
3.353834614663416813e-01 2.463539106360163457e-04
3.356209763110194477e-01 2.157723367431989519e-04
3.358584911556972141e-01 1.863392582758001262e-04
3.360960060003750360e-01 1.812200481381370614e-04
3.363335208450528024e-01 2.051114991110252503e-04
3.365710356897305688e-01 2.373459428302297943e-04
3.368085505344083908e-01 2.574618303080537102e-04
3.370460653790862127e-01 2.557686663740652163e-04
3.372835802237639791e-01 2.329684783440330944e-04
3.375210950684417455e-01 2.002325404463420062e-04
3.377586099131195674e-01 1.790845046434769443e-04
