# tau K_raw K_smooth K_GUE
4.262841894596398062e-01 8.738287654254766057e-01 4.354361690077576119e-01 4.262841894596398062e-01
4.282855236824549827e-01 6.159348523581102963e-01 4.475968264681557951e-01 4.282855236824549827e-01
4.302868579052702147e-01 5.157674488727690409e-01 4.377883044291124293e-01 4.302868579052702147e-01
4.322881921280854467e-01 4.875097429541256494e-02 4.355065950278322884e-01 4.322881921280854467e-01
4.342895263509006232e-01 2.348361395204340007e-01 4.159331740409392131e-01 4.342895263509006232e-01
4.362908605737158552e-01 6.255250188043010029e-01 3.974458579999391450e-01 4.362908605737158552e-01
4.382921947965310316e-01 1.770278240372085699e-01 3.970460381760571034e-01 4.382921947965310316e-01
4.402935290193462636e-01 4.091782738273364028e-02 4.073741630299257399e-01 4.402935290193462636e-01
4.422948632421614956e-01 1.476008635804253455e-01 3.918036174180584141e-01 4.422948632421614956e-01
4.442961974649766721e-01 2.794550007842065975e-01 3.963557151950309332e-01 4.442961974649766721e-01
4.462975316877919041e-01 2.117248038100768281e-01 3.959032256639203329e-01 4.462975316877919041e-01
4.482988659106070806e-01 6.490623859357432801e-01 3.921333636051516636e-01 4.482988659106070806e-01
4.503002001334223126e-01 4.374019156165356165e-02 3.892062285613230310e-01 4.503002001334223126e-01
4.523015343562375445e-01 9.732387894013042051e-02 3.703564248953724602e-01 4.523015343562375445e-01
4.543028685790527210e-01 9.512010324129511751e-01 3.783352539810509452e-01 4.543028685790527210e-01
4.563042028018679530e-01 5.238084256321606791e-01 3.611398424915656657e-01 4.563042028018679530e-01
4.583055370246831850e-01 7.524142305985483947e-01 3.565349244684487551e-01 4.583055370246831850e-01
4.603068712474983615e-01 1.998154156033860041e-01 3.635379966951574060e-01 4.603068712474983615e-01
4.623082054703135935e-01 1.130074129644769165e-01 3.776519405100114968e-01 4.623082054703135935e-01
4.643095396931287699e-01 2.806118659108834956e-01 3.729474327208633921e-01 4.643095396931287699e-01
4.663108739159440019e-01 7.084059455059891208e-01 3.890473258216817221e-01 4.663108739159440019e-01
4.683122081387592339e-01 9.555553313573474927e-01 3.709333566329767740e-01 4.683122081387592339e-01
4.703135423615744104e-01 4.144975492185088983e-01 3.714796681457145366e-01 4.703135423615744104e-01
4.723148765843896424e-01 1.403079966751752394e-01 4.008235564870580303e-01 4.723148765843896424e-01
4.743162108072048189e-01 8.487546564188004627e-02 4.165707344648946209e-01 4.743162108072048189e-01
4.763175450300200509e-01 9.996082460777669376e-03 4.141317292027948405e-01 4.763175450300200509e-01
4.783188792528352828e-01 5.705710254388296487e-01 4.041541186432999755e-01 4.783188792528352828e-01
4.803202134756504593e-01 4.348447560200662809e-01 4.005346315873344887e-01 4.803202134756504593e-01
4.823215476984656913e-01 5.530240958034721155e-01 4.013540633134806690e-01 4.823215476984656913e-01
4.843228819212808678e-01 2.139919607352480380e-01 4.005663598072677356e-01 4.843228819212808678e-01
4.863242161440960998e-01 1.996120229017799563e-01 3.946636775204385716e-01 4.863242161440960998e-01
4.883255503669113318e-01 2.796500792410597791e-01 3.897313081041486882e-01 4.883255503669113318e-01
4.903268845897265082e-01 9.647809356413526716e-02 3.934033731778418530e-01 4.903268845897265082e-01
4.923282188125417402e-01 5.085746381888976014e-02 4.098415707379777784e-01 4.923282188125417402e-01
4.943295530353569722e-01 3.497812526961466828e-01 4.288875459302878834e-01 4.943295530353569722e-01
4.963308872581721487e-01 1.508438689510234743e-01 4.069928257126123605e-01 4.963308872581721487e-01
4.983322214809873807e-01 5.725182051167421182e-01 4.010060290401418204e-01 4.983322214809873807e-01
5.003335557038025572e-01 3.780763055384886440e-01 3.851856570982046812e-01 5.003335557038025572e-01
5.023348899266177892e-01 8.215664497100534369e-01 3.926842715040504417e-01 5.023348899266177892e-01
5.043362241494330211e-01 3.164231045538654086e-02 3.920376604038845469e-01 5.043362241494330211e-01
